5.9	3.17203	0
0.1	-1.28209	0
0.2	-1.23197	0
0.3	-1.20375	0
0.4	-1.18568	0
0.5	-1.16239	0
0.6	-1.12436	0
0.7	-1.07191	0
0.8	-1.01241	0
0.9	-0.952361	0
1	-0.894879	0
1.1	-0.839507	0
1.2	-0.785895	0
1.3	-0.736008	0
1.4	-0.691649	0
1.5	-0.654327	0
1.6	-0.621392	0
1.7	-0.590825	0
1.8	-0.565492	0
1.9	-0.544032	0
2	-0.523739	0
2.1	-0.505137	0
2.2	-0.483854	0
2.3	-0.457358	0
2.4	-0.433464	0
2.5	-0.413362	0
2.6	-0.386618	0
2.7	-0.356493	0
2.8	-0.341566	0
2.9	-0.339407	0
3	-0.324051	0
3.1	-0.274386	0
3.2	-0.241366	0
3.3	-0.298701	0
3.4	-0.464635	0
3.5	-0.666671	0
3.6	-0.782465	0
3.7	-0.712685	0
3.8	-0.420582	0
3.9	0.0835284	0
4	0.785558	0
4.1	1.69644	0
4.2	2.83225	0
4.3	4.12861	0
4.4	5.32044	0
4.5	5.92611	0
4.6	5.54071	0
4.7	4.36138	0
4.8	3.29095	0
4.9	3.06881	0
5	3.28504	0
5.1	3.07607	0
5.2	2.74632	0
5.3	2.9293	0
5.4	3.04161	0
5.5	2.97704	0
5.6	3.12852	0
5.7	3.11524	0
5.8	3.15821	0
5.9	3.13389	0
