5.9	4.43296	0
0.1	0.584414	0
0.2	0.550389	0
0.3	0.519931	0
0.4	0.492867	0
0.5	0.469516	0
0.6	0.447641	0
0.7	0.429863	0
0.8	0.412015	0
0.9	0.392644	0
1	0.381046	0
1.1	0.370963	0
1.2	0.339404	0
1.3	0.278524	0
1.4	0.205703	0
1.5	0.143586	0
1.6	0.102616	0
1.7	0.0806854	0
1.8	0.0708883	0
1.9	0.0672344	0
2	0.0662217	0
2.1	0.0662592	0
2.2	0.0667659	0
2.3	0.0675868	0
2.4	0.0687231	0
2.5	0.0702311	0
2.6	0.0721912	0
2.7	0.0747011	0
2.8	0.0778757	0
2.9	0.0818487	0
3	0.0851405	0
3.1	0.0878273	0
3.2	0.0899838	0
3.3	0.0916824	0
3.4	0.0929921	0
3.5	0.0939782	0
3.6	0.0947051	0
3.7	0.0952467	0
3.8	0.0957288	0
3.9	0.0964612	0
4	0.0982874	0
4.1	0.103333	0
4.2	0.116139	0
4.3	0.144329	0
4.4	0.196518	0
4.5	0.275217	0
4.6	0.368091	0
4.7	0.450484	0
4.8	0.507745	0
4.9	0.554288	0
5	0.613227	0
5.1	0.685119	0
5.2	0.773376	0
5.3	0.920819	0
5.4	1.18987	0
5.5	1.67089	0
5.6	2.48218	0
5.7	3.6011	0
5.8	4.56265	0
5.9	4.87885	0
